Unnamed: 0,Title,Poem,Poet,Tags
140,"
                    rice & rain
                ","
all the rain came down at once like a dropped bag
of aquarium pebbles. too much for the street to swallow:
all gravel & grit. i feel the saltwater rushing
in my mouth as i hit the shore — sand becoming rice.
the pot on the stove — put on the lid. we read the
back of the bag — bring the water to a boil — it
protests in the clouds. rainwater peeling open
car windows to fill the floor — make mobile your
lakes & the herons will come — don’t feed the birds rice.
my favorite summer storms are the ones
that come too fast. they remind me so much of myself:
gathering their gray hair in a bouquet to beat
against the highway. i think of the times the thunder
would toss geodes at the street until they cracked open,
about dad telling my brother & i to go upstairs
& shut the windows before the storm snuck inside.
the car prayed until it drove on water — ocean barreling
toward us like a great big whale: blueness open & mouth full
of salt. you ask if we should stir the rice & the water
hisses & spits. we often forget about the ghosts
who kneel in pots of water. there’s always a wooden spoon. i keep
mine in the glove box. taking it out, i park the car with
the four-ways on. other monsters slosh past.
we get out on the side of the road. kneeling i plunge
the spoon into the bank: chicken broth & rice.
rain warming our bodies until there’s no
mistaking us from the stove. i burn my feet getting
back into the car. our flesh turns chicken-white & tender.
somewhere in all of this i managed
to drive across the whole unknown ocean — the one
without a name that shows up only when it downpours.
makes tides that eat radar & sailors.
picks rice grains from her teeth.
the other side is not land, but soft rice steaming
& ready. our legs sink in. take a spoonful of me
before i drive home a second time. the sun emerging like
a quartered bell pepper. i’m thinking of
lying in a rain puddle with you & falling apart
into a palm full of cooked rice.
",Robin Gow,"Love,Activities,Eating & Drinking,Nature,Seas, Rivers, & Streams,Weather,Mythology & Folklore,Ghosts & the Supernatural"
141,"
                    Auguries Cast Aside
                ","
                                                        to enter the sky with our bodies
                                                        the principal concern for
                                                        inventing airplanes
                                                   no one taught me this
                                      any more than they taught me
                     to say good morning to my hippocampus
                      but I do because I love my hippocampus
                                        I was in a band one summer
                                        we never could harmonize
                                        we smiled and kept playing
                                        we loved our united disunity
                                        a wild stubborn focus
                                        chewing its way out
                                        how awkward the
                                        archer after
                                        shooting
                                        his arrow
                                        remembering
                                        first time getting
                                        into bed just
                                        for sex
                                      they say
                               I’m old now
                            ask my advice
                   all I have to offer is
            make as many mistakes
     as you can handle but make
  them as soon as possible
  oh and don’t waste time
following each other from
opposite sides of the river
   when storm blows wig
      off my head it simply
        means it is time to let
         the storm take its share
 
",CAConrad,"Living,Growing Old,Life Choices,Youth,Nature,Weather,Mythology & Folklore"
142,"
                    Glitter in My Wounds
                ","
                             first and most important
                             dream our missing friends forward
                             burn their reflections into empty chairs
             we are less bound by time than the clockmaker fears
this morning all I want is to follow where the stone angels point
                      birdsong lashing me to tears
                              heterosexuals need to see our suffering
                   the violent deaths of our friends and lovers
       to know glitter on a queer is not to dazzle but to
  unsettle the foundation of this murderous culture
         defiant weeds smashing up through cement
                      you think Oscar Wilde was funny
                     well Darling I think he was busy
                             distracting straight people
 so they would not kill him if you knew how many times I have been told you’re not like my  gay best friend who tells me jokes and makes me laugh no I sure as fuck am not I have no room in my life to audition for your pansy mascot you people can’t kill me and think you can kill me again I met a tree in Amsterdam and stood barefoot beside it for twenty minutes then left completely restored
     yet another poem not written by a poet
                    sometimes we need one muscle to
                                     relax so the others follow
                                 my friend Mandy calls after a
                               long shift at the strip club to say                             while standing in line for death I am                        fanning my hot pussy with your new book                   will you sign it next week my fearless faggot sister
",CAConrad,"Living,Death,Relationships,Friends & Enemies,Gay, Lesbian, Queer,Arts & Sciences,Poetry & Poets,Social Commentaries,Gender & Sexuality"
143,"
                    From “Titan / All Is Still”
                ","
A black sun rises in the West of me& will never set. God of my fathers, sleeplike the one sleeping next to me;inert & tenderly coiled. I am so gratefulto yóu, that breathes as the deadbreathe in their shallow land — barely,below the range of my hearing.That draws in the thin streams of black air& shifts & puts a white arm around me.I want to know, Né, what it is likein the kingdom of the dead where you are.Is the one I fear there with her trainof silver hair? Have you seen John, the templesof his glasses duct-taped to the hinge?I know it is not still there; I know everythingis in furious motion beneaththe black sun & the sky white as chalk — the torrent of silver hair whippedabout her face that woke in the moonlighton the last morning, lucid & fluent,& turned toward my father & said, “I love you,”walking backward on the white roadinto the white sky toward the white city,black sun clearing the horizon &a wind lifting in the torn leaves like the windin the wood above Lady’s Walkwhere I trespassed in spring, singing,Sigh no more, ladies, sigh no more, the bluebellshissing like cats & the canopya violent array, violently outside mein flickering Islamic greens / Spanish grays,the topside / bellyside of milledleaves, the harebells biting their bitter tongues,& raising its head in panic, a juvenilefallow deer stippled with thick white spots.Then someone shouted, “Oy, stay there, you fúck,”Oyé, Whale, & my launces in his side,& I went down the hill with the sweetgrasspulling at me & the spit in my mouth.Né, I cannot sleep. Ever since I lost my little children.I look for their shapes on the ceiling,in the dark, & they are not there.Né, never, no, no, never, never, never, never.There is nothing, Né. Neither the nightnor the white city like Conholt in its great estate.Not the hart, nor the furious wood.O,           John, John. I came downstairs still drunkto find you asleep with your headon the hoover, & the hoover still running;half-shaved, the tape on your glasses,your mouth open & the tattered Crombie.Then years later when Oli called & you were,O John. Y am alpha and oo, the firsteand the laste, bigynnyng and ende.O,           John, John. No white city as a wijf ourned to hir hosebonde,no voice in the wind, in the (clouds) cryingLo! Y make alle thingis newe. I make all things new.Como una novia adornada para su esposo.Como tu cuerpo en la noche, Né; like this bodythat pregnancies have raged over& I have loved with my mouth moost feithful and trewe.i              And let him that is athirst come.ii             And let him that heareth say, Come.iii            And let the dawn thunder up in the streetwhile you are sleeping with the first cars saunteringby & the dustmen & women whistling.Lord, I will stand before yóu when yóu wishin death’s little house & yóu will eat my pronoun.
 
• In that other life that will be ourswhere there is neither marriage nor children,I may kneel beside you, Mouse, & notknow you — our eyes like a golem’s, emptyof their own will, but full of hís,the dead Lord at the center of hís dead city.In the days when my glory is strippedfrom me, & yours from you, & all are madeequal — no aesthetic splendor, no charm,no subversive, faithless glances to-ward those I have loved & have loved me;no property, no desire, no variation,no sparrowhawk thrusting through birchesin the snow toward the wood, forhé never stepped in a wood, nor saw a harebelleasing its frail metaled head, its lightpinks & papery blues, through the first trancheof snow in November, nor the gray cereof the plunderer beneath her blue helmet,her single attention, wings volute in air,head w/ beak narrowly ajar in concentration& hunger breaking the line of the fenceat the old house in Broadway;in the snow; in the snow that has flattenedeverything, the bells ringing out,the clouds heaped above the Blackdownsdragging themselves from the earth,headlights on the ridge in the wind gropingtoward them, the hills featureless,snuffed, white, black, dull, shining w/ no light.No drinking in the afternoon, no dope,no flaring temper. No bed to sleepit off, Mouse, while you draw catkins & piggies& pussybears with gorgeous happy frownsin the cold. No sleep, no flesh to restin, for there is only day in the white irradiatecity where the lamb lights hís terriblemercy in to worldis of worldis, forever & ever& hís government will never fail, for no gloryis allowed but hís glory, no bonegouvernance but hís bone gouvernance,no prison camp but hís prison camp,hís plantations, hís will & techne, hís punishmentbeatings, hís censorship, hís textual criticism,hís forgiveness, hís rehabilitation, Oferdful men, & vnbileueful & cursid & manquelleris.Mouse, on that day, will you turn toward me& will I see in the insubstantial glassof your eyes the memory of these days;myself, father, authority, half chocolate & halfsteel, still carrying you at six up the hill& down the hill, still playing the Ticklepuss& Crocopotamus, the horn of plenty,salver, lessener of cries, bringer of swallows& dragonflies, the Emperor & Downy Emeraldhovering over still waters in the valei of teeris,wolves in the mist in the hillsabove Antequera where the rocks baredthemselves like teeth & you wereasleep on my chest with fine alabastereyelids & eyelashes plashed with droplets of dew?Where I said, “Shhhhhh, close your eyes& imagine that you’re a water reed, Mouse,”& I blew on you & that was the wind& then my hand was a snail wandering overyour eyelids & the nape of your neck& last of all it rained & that was my fingersgoing pitter-pat upon the pinnacles of your head.The days fade through our slow parting;your mother grows ambivalent. Little accident,in the stillness of the earth there is no life;the harebell reaches its root into death& the waters flow down until the rock is dry.I wanted more than I was given,& found in betrayal a churning courage.Torchlight in the garden where we make our choice.The will that flickers. My loss. Our bliss.Mouse, on the last day, remember this.
 
• Lying with you, Né, in the sun, in the (clouds)half-listening to the Senegalese preachertwo mornings after the riotswhen they ran Mame Mbaye down to the gutter& wishing you would go buy your mutes& play again, here, in silence, — for them & for me & yourself & the polis — Bach’s Suiten für Violoncello No. 1.To watch in dumb show the formal motionsthat reify language & music — the flesh;your shoulder & forearm & wrist& lightly-draped fingers one continuousdependent assemblage flowing south to the riverat Arganzuela & the chuckling magpies.There is an authority in you, when you play,that is different from the authorityof the whap | whap of rotor blades overhead;control that is liberation, a concentrationthat is neither at one point nor diffuse,like the globes of light hovering over the lamppostsin your myopia last night; wanderingacross the river, the madrileñosalso entonados swaying like palm frondsin the wind; then the dark, & our one bodywith its artifacts of pregnancy & loss.An authority that is different from the authorityof the Lord in hís dead city, hís kingdomthat has no contiguity with ours, no conformitá,the streets empty of opposition& neither wind nor rain; nor thunder, nor tears.Now a thin sun is dwelling in the wind.I wd like to reach out to you in its cold light& pull the shape of your body into mine;put my tongue against your eyesso I can taste what it is you see through them;the restaurant opening, the crisp cloths.Even the polis with their holsters & war clubslooking on carefully & asexuallylike angels come to lie with the daughters of men.A kestrel on a lamppost strips the bascinetfrom a cricket with slow, consideratemotions: lovely rare flame.Have they buried Mame Mbaye? They are erasinga name from the wall & the quarter is pacified.Clouds rise above Guadarrama,Somosierra, above the meseta like kites.The picoletos shift from foot to foot in longblack boots. Bells bleat — lambs;Alsatians on leashes. The bougainvillea — glad to bring us at last the first traceof its colors — flaunts a breathless restraint.
 
•     
",Toby Martinez de las Rivas,"Living,Death,Marriage & Companionship,Parenthood,Love,Romantic Love,Relationships,Family & Ancestors,Nature,Animals,Trees & Flowers,Religion,The Spiritual,Arts & Sciences,Language & Linguistics,Social Commentaries,History & Politics,Race & Ethnicity"
144,"
                    Featuring Tonight at the Street Hustler’s Circus: The Girls
                ","
The streets ram themselves into coochies:
sodden women with bamboo for backs
& taffy for sex. Both sweet & sour.
Star-cloaked women who don’t bend
or break. Who catch Hondas right in they grills.
Women with electric-pink hoofs that drag
in the slow churn of the intersection. Clog
the sidewalks. Metastasize along the corridor
of Main Street. They have come to settle
around the bend of this corner. Pose
under carnival-like car lights at just nine-thirty.
Note: It ain’t even prime time & they got all thatgood-good going on sale. The gully accordion,
their arms sway in & out of tempo with traffic.
They stagger in & out of the busted frame of Pop’s
Grocery neon-blue open sign. Their smoke-thin throats
glitter when they slip into the ringing center of the motel lobby.
Strangled light bubbles & soaps along their jaws like melted crayons
through the Plexiglas. A rush of shade strains
against their nylon-clamped thighs, rides up their hips
& dangles around their soft bellies as they saunter on in.
They be harvested sounds for the replay later this evening.
When they got to make it do what it do. When they got to
cash they own checks. Trace dollar signs into ceilings — signals
cut with their zirconia-encrusted toes.
Giggle & grunt at all the right moments
for the Best in Show.
",Faylita Hicks,"Activities,Jobs & Working,Social Commentaries,Cities & Urban Life,Gender & Sexuality,Money & Economics"
145,"
                    My Therapist Wants to Know about My Relationship to Work
                ","
I hustleupstream.
I grasp.I grind.
I control & panic. Poke
balloons in my chest,
always popping there,
always my thoughts thump,
thump. I snooze — wake & go
boom. All day, like this I short
my breath. I scroll & scroll.
I see what you wrote — I like.
I heart. My thumb, so tired.
My head bent down, but not
in prayer, heavy from the looking.
I see your face, your phone-lit
faces. I tap your food, two times
for more hearts. I retweet.
I email: yes & yes & yes.
Then I cry & need to say: no-no-no.
Why does it take so long to reply?
I FOMO & shout. I read. I never
enough. New book. New post.
New ping. A new tab, then another.
Papers on the floor, scattered & stacked.
So many journals, unbroken white spines,
waiting. Did you hear that new new?
I start to text back. Ellipsis, then I forget.
I balk. I lazy the bed. I wallow when I write.
I truth when I lie. I throw a book
when a poem undoes me. I underline
Clifton: today we are possible. I start
from image. I begin with Phillis Wheatley.
I begin with Phillis Wheatley. I begin
with Phillis Wheatley reaching for coal.
I start with a napkin, receipt, or my hand.
I muscle memory. I stutter the page. I fail.
Hit delete — scratch out one more line. I sonnet,
then break form. I make tea, use two bags.
Rooibos again. I bathe now. Epsom salt.
No books or phone. Just water & the sound
of water filling, glory — be my buoyant body,
bowl of me. Yes, lavender, more bubbles
& bath bomb, of course some candles too.
All alone with Coltrane. My favorite, “Naima,”
for his wife, now for me, inside my own womb.
Again, I child back. I float. I sing. I simple
& humble. Eyes close. I low my voice,
was it a psalm? Don’t know. But I stopped.
",Tiana Clark,"Living,The Mind,Activities,Jobs & Working,Arts & Sciences,Poetry & Poets"
146,"
                    body without the “d”
                ","
the bo’y wakes up
the bo’y looks at itself
the bo’y notices something missing
there is both too much and not enough flesh on the bo’y
the bo’y is covered in hair
what a hairy bo’y
some makes it look more like a bo’y
some makes it look more like a monster
the bo’y did not learn to shave from its father
so it taught itself how to graze its skin and cut things off
the bo’y cuts itself by accident
the blood reminds the bo’y it is a bo’y
reminds the bo’y how a bo’y bleeds
reminds the bo’y that not every bo’y bleeds
the bo’y talks to a girl about bleeding
she explains how this bo’y works
this bo’y is different from hers
bo’y has too much and not enough flesh to be her
the biology of a bo’y is just
bo’y will only ever be a bo’y
the bo’y is Black
so the bo’y is and will only ever be a bo’y
the bo’y couldn’t be a man if it tried
the bo’y tried
the bo’y feels empty
the bo’y feels like it will only ever be empty
the bo’y feels that it will never hold the weight of another bo’y inside of it
no matter how many ds fit inside the bo’y
the bo’y is a hollow facade
it attempts a convincing veneer
bo’y dresses — what hips on the bo’y
bo’y paints its face — what lips on the bo’y
bo’y adorns itself with labels written for lovelier frames
what a beautiful bo’y
still a bo’y
but a fierce bo’y now
a royal bo’y now
a bo’y worthy of  being called queen
what a dazzling ruse
to turn a bo’y into a lie everyone loves to look at
the bo’y looks at itself
the bo’y sees all the gawking at its gloss
the bo’y hears all the masses asking for its missing
the bo’y offers all of its letters
— ‘ b ’ for the birth
— ‘ o ’ for the operation
— ‘ y ’ for the lack left in its genes
what this bo’y would abandon
for the risk of  being real
the bo’y is real
enough and too much
existing as its own erasure
— what an elusive d —
evading removal
avoiding recognition
leaving just a bo’y
that is never lost
but can’t be found
",Justice Ameer,"Living,The Body,Social Commentaries,Gender & Sexuality,Race & Ethnicity"
147,"
                    Stethoscope
                ","



i.m. Denis Johnson, 1949–2017



the unified field 
It wasn’t that there was anything to say
that would stop him from feeling this way — the X
of himself splayed out in space
where gravity was weakest. He and his father
and talkative mother
suffering tiny strokes that took away
this syllable from this word, that syllable
from that, all this lay
in one pan of the balance scale
while in the other there was nothing but dark matter
and the cosmic inconsequence
of his literal physical heart beating.
And then the unified field, faced with its own emptiness,
bent down to his chest as if to listen.
 
a toast to pavlov’s dogs 
Oh Leash held by a hand I can’t see, here
in the laboratory where nothing can change
and where yips and bites are fine-tuned to the pack’s mentality,
am I one of his dogs, the three-legged one that knows nothing
of my lack except for how I bark, growl,
and whine to be let in? Am I the salivating triangle
guided only by my nose that keeps me
on the move in my limping trot away from you, Leash, yanking
me back from all the filth I want to shove my nose in?
Why won’t you let me go free? The sad gestures
of our growing intimacy is a reflex we
can’t escape or express: sometimes, emotion is just mange.
So Leash, here’s a toast to my lab pals: August, Fast One,
Pretty Little Lady, Joy, Beauty, MiLord, Clown.
 
the judgment after the last 
What would we like to see happen?
Would we like to drive nails into our hands?
Would the shame engulfing us like flame
on a computer screen make us understand
that throwing a match into the Grand Canyon
while snapping a selfie, and never once thinking
how far that match falls, is the original sin
that a donkey’s ears twitching
as we ride it to the bottom reveal as the truth
about our consciences? How many nails
will we need? Go to the movies, do research,
be the Regulator forced to kill kill kill
and that’s when we’ll find out just who we are
or if there’s anything like “who” anymore.
 
mission 
It’s not simply that the palm trees are on fire
but that they waver up more fire than fire,
brighter and harsher and more intoxicating
than the flames spreading ever thought of being — 
the thick black smoke turning noon to midnight
rears up in a wall that nobody can see
over or around or through even as this nobody
comes crashing through the screen
right into my living room: poor nobody! In this loneliest of times,
he tells me how much he loves me, how his lack
and mine feel somehow the same and that the flames
crawling over him have become his mission:
burning, he erects a burning house of smoke
we can neither live in or abandon.
 
sunday is never the last day of the week 
Using zip ties and Velcro to strap on a homemade bomb,
who is to blame, who should have told us
that on the far side of the screen in this Sunday calm
our generation has had its time? In that corner
where we slept together so many nights, yes, in that corner where
the bed of the dead lovers has been put out with all the other
Monday morning trash, there are always two doors
opening and closing as one of us goes out and the other comes in.
Why couldn’t we show our love for one another
the way the void dissolves into the zero? Why did the animal
grafted to the human find such satisfaction in explosions? Darkness
to darkness, ashes to ashes, the animal to the human,
why shouldn’t we take pleasure where and when we can — 
provided this is pleasure, provided that the body isn’t null.
 
last rites 
Even if the suit they dress me in for my funeral
is dry-cleaned at Perfection Laundry, then washed
and washed in the blood of the lamb, the knees
will still be muddy from kneeling down, the sleeves,
mismatched, will tell their own threadbare tale
about the breath of life breathed into tabletop dust.
What would the naked man and woman and talking snake say
about the god who no longer remembers if they’re forgiven
or not? Listening as a kid to the old stories,
there were never enough beanstalks and giants
and Jacks. Now, the pallbearers pick up my coffin,
they carry me out to the ruined cathedral where the saints’
wooden faces, frozen in their homely expressions of grace,
are shadowed by flocks of  blackbirds whirling past.
 
coda: the hunger artist as a senior citizen 
Nowadays, in my cage
in old straw, where
my brother keeper
forgets to come feed me anymore,
at last I’m fasting for its own sake,
not to break records I’ve broken
a thousand times before.
Besides, nothing could be easier
than to starve forever
if the food they keep on
giving you makes you sick.
This hunger is a moment’s
vision that will persist
in a pillar of radiant house dust.
",Tom Sleigh,"Living,Death,Growing Old,The Body,Love,Romantic Love,Nature,Animals,Landscapes & Pastorals,Religion,Christianity,The Spiritual,Arts & Sciences,Sciences"
148,"
                    The Hastily Assembled Angel Considers the Kingdoms of Dogs and of People
                ","
The hastily assembled angel wanders
And has      through cities centuries of  cities
And countries and millennia of  cities
And countries and of  women and of men      there’s
No hurry now though he was hurriedly
Once brought to being      and bears the scars of  that
Though slowly      in the Earth      though slowly he
Eventually began to wonder what
The hurry had been for      and if  he could
Have been a better angel or have done
Better the job he did if once
They’d made him the      other angels had allowed
Him to meet God      for he has been uncertain
As people are uncertain he has nev-
er been as certain      as dogs are      who sniff
The wind that moves the curtain      and see behind the curtain
",Shane McCrae,"Living,The Mind,Religion,God & the Divine,The Spiritual"
149,"
                    The Hastily Assembled Angel Falls at the Beginning of the World
                ","
Except most things weren’t clouds      everything there
Was clouds      the hastily assembled angel
Before he knew the word      clouds was the last word
He heard the other angels shouting as
They shoved him      though he after he had fallen
Too far to hear them he      saw their mouths mak-
ing shapes that were not clouds      and when he saw that
Thought That’s      something that isn’t clouds that      shouting After I’ve fallen too far to hear them don’tThey know      I’ve fallen too far to hear them now Or are we not together now before
He knew the word      in those few minutes the oth-
er angels were assembling him      he named
The things he saw with words that seemed to fit them
Nothing was heavenly a few things wereOcean and hole and monkeyapple he
Before the other angels shoved him      had
Started combining words      but nobody
Would name the things he saw the way he named them
And to the other angels all his naming
Was noise they shouted      as they shoved him It’sAll clouds      what difference could it make      to the angel
Built to monitor the Earth      from the surface
Of  the Earth      what was or wasn’t true in Heaven
They shoved him then      they stared and then they shouted
After the disappearing figure all
The things they suddenly remembered      they had
Forgotten to tell him      as they were hammer-
ing him together as they hammered him
Together and behind them      but above
Behind      a pinkish light that was or was-
n’t God pulsed      like the heart of  one of  the creatures
God hadn’t yet created though the angels
Had seen the creatures coming in the waves
Then covering the Earth      the angels had
Seen them      and didn’t want to be assigned
To live with them      and so had voted to
Build their own angel but they didn’t ask
Permission first instead they built him quick-
ly      and as Gabriel asked God      if  this
New angel could be sent instead to Earth
Fresh      eyes for a fresh world the other angels
Shoved him the hastily assembled angel
From the cloud and Heaven      he      the hastily
Assembled angel could see      farther than
The other angels though he couldn’t under-
stand what he saw as well      as the other angels
Might have      and as he fell he saw their mouths mak-
ing shapes he saw the light behind them      pulsing
And as he fell he watched the clouds becoming
Abstract      as any other angel would
From Heaven watch a species go extinct
Even as dry land emerged from the waves below him
",Shane McCrae,"Religion,God & the Divine,The Spiritual,Arts & Sciences,Language & Linguistics"
150,"
                    The Wings of the Hastily Assembled Angel
                ","
The hastily assembled angel flies
With patchwork wings red patches and white patches
And yellow patches blood and emptiness
And sun and usually      an angel’s wings would
Be made of  only one of  these      but his
Were made at the last minute and were almost
Not made at all and wouldn’t have been made
Had Azrael not seen      in the hastily
Assembled angel’s eyes as Azrael
Placed his white palm on the hastily assembled
Angel’s chest fear      as Azrael placed his palm there
To shove him from the cloud      and saw he had
No wings      and paused and thought      then pulled him back
And so the angels stitched together what was
Near      blood      emptiness      sun      as what was near
Was Heaven      and what else would Heaven be
",Shane McCrae,"Living,The Body,Religion,The Spiritual"
151,"
                    Not for Him the Fiery Lake of the False Prophet
                ","



When Mexico sends its people, they’re not sending their best.... They’re bringing drugs. They’re bringing crime. They’re rapists.
— Donald Trump, June 16, 2015



They woke him up by pissing in his face. He opened his mouth
to scream in Spanish, so his mouth became a urinal at the ballpark.
Scott and Steve: the Leader brothers, celebrating a night at Fenway,
where the Sox beat the Indians and a rookie named Rodríguez spun
the seams on his changeup to hypnotize the Tribe. Later that night,
Steve urinated on the door of his cell, and Scott told the cops why
they did it: Donald Trump was right. All these illegals need to be deported.
He was a Mexican in a sleeping bag outside JFK station on a night
in August, so they called him a wetback and emptied their bladders
in his hair. In court, the lawyers spoke his name: Guillermo Rodríguez,
immigrant with papers, crop-picker in the fields, trader of bottles
and cans collected in his cart. Two strangers squashed the cartilage
in his nose like a can drained of beer. In dreams, he would remember
the shoes digging into his ribcage, the pole raked repeatedly across
his cheekbones and upraised knuckles, the high-five over his body.Donald Trump was right, said Scott. And Trump said: The people
that are following me are very passionate",Martín Espada,"Social Commentaries,Crime & Punishment,History & Politics,Race & Ethnicity"
152,"
                    Flan
                ","



For  Jack Agüeros (1934–2014)



I was eight when the blackout struck and the lights died all across the city
like a massacre of fireflies. In the projects of Brooklyn, I steered myself
to 14F, fingers spread against the cool tiles of the hallway, past the concrete
and chicken-wire terrace where I once burnt ants with a magnifying glass.
Many years later, at the Chinese restaurant uptown, Jack said: They got any flan here? He was my first poet. I had seen the fireflies in his sonnets
blink and float away: Fulano the philosopher in the unemployment line;
Blanco the painter, painting in the madhouse; Monterosa the dealer killed
by shotgun in a bar on Avenue A; his mother the seamstress and the quick
needle of her sewing machine; Jack the moving man, his hands sliced raw.
He stacked his apartment with dictionaries in three languages. I knew
the raconteur’s grin with every tale: Raúl Juliá is a friend of mine:a Puerto Rican playing Macbeth. He took 14 curtain calls on opening night.
Maybe he would tell me now that flan was not Puerto Rican, or Mexican,
or Spanish, but Chinese, invented by a trembling cook to satisfy the palate
of an emperor in the Ming Dynasty. No flan, Jack, I said. This is a Chinese restaurant. Two minutes later, he said: They got any flan? I showed him
the dog-eared and fingerprinted menu. No flan, I said. When the waiter
unfurled his pad, Jack said to him: You got flan? He sang this song for an hour.
The egg roll was not flan. The fried rice was not flan. The fortune cookie
was not flan. Can we get some flan? he said. Goddammit, Jack, I said.
The poets crowded into the bar, striding to the mic. Jack stood with poem
in hand, read the title, tilted his head and said it again, studied the page
as if the words shriveled up like ants burnt under a magnifying glass,
then sat down. I witnessed the massacre of fireflies. A few of us clapped,
not knowing what to do with our hands, staring at the sonneteer who lost
all his quatrains and couplets in the denim jacket he left on the subway,
the words of Fulano still waiting on the unemployment line: The faster you spin, the stiller you look. / There’s something to learn in that, but what?
After the diagnosis, I handed Jack a book of poems. He dangled the book
upside down like a stiff mouse by the tail, something we would sniff  behind
the refrigerator. I wanted sonnets. Jack kept singing the chorus of a song:Get me to the church. Get me to the church. Get me to the church on time. 
At the end, I leaned over Jack’s bed to read his own poem in his ear, but some
words come home after the blackout, fingers crawling on the wall. I know
what I should have said at the Chinese restaurant: Jack, let’s get some flan.
We should have braved the subway at rush hour, straphangers rocking
all the way to 14th Street and 8th Avenue, to La Taza de Oro, gone now
like Jack, for rice and beans, squid in its own ink, café con leche y flan,
Jack: a spoonful of flan for you after all the years of sonnets and bread
for me, the steam rising when your hands cracked the crust at the table.
",Martín Espada,"Living,Death,Health & Illness,Activities,Eating & Drinking,Arts & Sciences,Poetry & Poets,Social Commentaries,Race & Ethnicity"
153,"
                    Aubade with Concussion
                ","



Poverty is black ice.
— Naomi Ayala



You leave me sleeping in the dark. You kiss me and I stir,
fingers in your hair, eyes open, unseeing. You leave me asleep
every morning, commuting to the school in the city at sunrise.
The landlord’s driveway, a muddy creek, ices over hard after
the freezing rain clatters all night. Your feet fly up, your head
slamming the ground, an eclipse of the sun flooding your eyes.
You sleep under the car. No one knows how long you sleep.
You awake with a hundred ice picks stabbing your eardrums.
You awake, coat and hair soaked, and somehow drive to school.
You remember to turn left at the Smith & Wesson factory.
The other teachers lead you by the elbow to Mercy Hospital,
where you pause when the nurse asks your name, where you claim
your pain level is a four, and they slide you into the white coffin
of an MRI machine. You hold your breath. They film your brain.Concussion: the word we use for the boxer plunging face-first
to the canvas after the uppercut blindsided him, not the teacher
commuting to school at sunrise in a Subaru Crosstrek. Yet, you would
drive, ears hammering as they hammer in the purgatory of the MRI.
A week before, Isabela came to you in the classroom and said:Miss, I cannot sleep. Three days, I cannot sleep. Her boyfriend called
at 2 am, and she did not pick up. At 3 am, a single shot to the head
put him to sleep, and he will sleep forever, his body hidden beneath
a car in a parking lot on Maple Street, the cops, the television cameras,
the neighbors all gathering at the yellow-tape carnival of his corpse.
You said to Isabela: Take this journal. Write it down. You don’t haveto show me. You don’t have to show anyone. On the cover of the journal
you bought at the drugstore was the word: Dream. Isabela sat there
in your classroom, at your desk, pencil waving in furious circles.
By lunchtime, as her friends slapped each other, Isabela slept,
head on the desk, face pressed against the pages of the journal.
This is why I watch you sleep at 3 am, when the sleeping pills fail
to quell the strike meeting in my brain. This is why I say to you,
when you kiss me in my sleep: Don’t go. Don’t go. You have to go.
",Martín Espada,"Living,Death,Health & Illness,Love,Romantic Love,Activities,School & Learning,Social Commentaries,Crime & Punishment,History & Politics,Money & Economics"
154,"
                    Standing on the Bridge at Dolceacqua
                ","



My only love sprung  from my only hate!
— Romeo and Juliet, Act I, Scene v



At forty, I studied the mirror. I poked my mouth to free a trapped grain
of hamburger, and a tooth broke off  between my fingers. I felt nothing.
The dentist said: The tooth is dead. The root is dead. The X-rays show signs
of trauma to the lower jaw. What happened here?",Martín Espada,"Living,Growing Old,The Body,Youth,Love,Romantic Love,Activities,School & Learning,Relationships,Friends & Enemies,Social Commentaries,Race & Ethnicity"
